,Comments,Quality,Difficulty,Dates,TeacherID
135,"Prof Chavel is clearly one of the most caring and devoted professors in the field. He is always available, open to talk, interested in how you're processing the material, and such. He is quick to respond as well; He is really a model professor and made learning about the HB exceedingly interesting. HOWEVER, he is NOT easy, and that is a GOOD THING",5.0,4.0,"May 22nd, 2010",933570
136,This class is enthralling. We are all completely transfixed and enchanted by his lectures. Prof. Chavel is the best professor at Princeton.,5.0,5.0,"Dec 4th, 2007",933570
137,No Comments,5.0,3.0,"Aug 6th, 2007",933570
138,Definitely one of the smartest men I have ever met.,5.0,1.0,"Mar 24th, 2011",953651
139,He's quite awesome. You'd be lucky if you had him. Oh and he's super famous now.,5.0,1.0,"Mar 21st, 2011",953651
140,he has no idea what he's talking about,1.0,5.0,"Jul 2nd, 2009",953651
141,not surre he understand what he's talking,1.0,5.0,"Jan 11th, 2009",953651
142,"A fantastic professor, who does an excellent job representing the Princeton MAE program.  He is a prime example of a Lebanese gentleman, and also makes a rather good dish of hummus, (or so the Princeton Lebanese students say).  I <3 Ranzi.",5.0,4.0,"Jan 28th, 2007",953651
143,"Doug Clark is a good lecturer, but isn't too important to the COS 126 class. Whereas precepts are critical, I found lectures to be fairly skippable.",3.5,2.0,"May 30th, 2015",2020550
144,"Difficult grader, but your writing skills improve tremendously after this course.",5.0,5.0,"Nov 3rd, 2011",1554719
145,"Dr. Comer is one of the most enthusiastic professors that I have had at Princeton - His teaching style focuses on intense participation - and what I loved the most was that he would always ask us to answer in a practical yet creative way, making sure to pinpoint why what we are saying is important. Also he explains concepts in an engaging way. ",5.0,4.0,"May 9th, 2015",33701
146,Had him for abnormal psych and a seminar - loved him!,4.5,2.0,"Jun 10th, 2008",33701
147,"Great course, and great guy! He's very chill, funny, easy to talk to, and very well informed. One of the few profs there with a wealth of clinical experience. A course with him is a MUST before graduation!",4.5,2.0,"Jun 13th, 2007",33701
148,this guy actually wrote my abnormal psych textbook. his book is very detailed and clear.,5.0,1.0,"Jul 22nd, 2006",33701
149,No Comments,5.0,2.0,"Sep 17th, 2005",33701
150,No Comments,1.0,5.0,"Dec 20th, 2003",33701
151,The best professor ever,5.0,2.0,"Oct 16th, 2003",33701
152,Funny guy!,4.5,2.0,"Jul 9th, 2003",33701
153,No Comments,3.0,3.0,"May 15th, 2003",33701
154,fun,5.0,3.0,"Apr 22nd, 2003",33701
155,No Comments,5.0,2.0,"Apr 12th, 2003",33701
156,Easily the best professor at Princeton,5.0,2.0,"Feb 18th, 2003",33701
157,One of the best lectures!,5.0,2.0,"Nov 6th, 2002",33701
158,No Comments,3.0,3.0,"Feb 19th, 2002",33701
159,"I attended a seminar Conway held at West Chester University of PA on surreal numbers. He is a genius, and it shows. He's hard to follow at times, and moves very quickly, but that comes with the brilliance. I recommend math majors/graduates see him any chance you get, it's an unforgettable experience.",3.0,4.0,"Mar 22nd, 2012",327711
160,"I had this professor during FSI2006, and I'm surprised I passed.",2.5,5.0,"Dec 11th, 2006",327711
161,No Comments,3.5,2.0,"Jan 10th, 2006",327711
162,"Conway's very hard to follow, and there was almost no class structure at all.  Oddly, this didn't hinder most of the class at all; he's an incredible genius, and a great lecturer besides.  Just ASK EVERY QUESTION YOU CAN, and the class'll be the most fun you've ever had.",2.5,4.0,"Dec 16th, 2005",327711
163,"Conway's a force to behold.  Just make sure you stop him to ask questions, or he'll zip by you and not even realize it.",4.5,4.0,"Dec 24th, 2004",327711
164,He looks like Santa Claus. He invented surreal numbers. He has been to Japan. He is hot. He will have visited the state of Michigan at least twice by the end of the year. TJCG is EXTREME.,2.5,5.0,"Dec 25th, 2003",327711
165,"Professor Cullen is the most dedicated prof I've ever had. Thanks to his attention I've made an amazing improvement in my writing and reasoning this sem. His class has also awoken a love for philosophy that I never knew I had! If you're lucky enough to get in, take this class!!",5.0,4.0,"May 11th, 2016",1872573
166,very helpful and fun,5.0,4.0,"Nov 16th, 2015",1872573
167,I'm so glad I got to take this class! I worked harder for Simon than I did for any of my other classes but it was worth it! The skills I gained have been incredibly useful.,5.0,4.0,"Apr 1st, 2015",1872573
168,"Professor Cullen is funny, brilliant, and incredibly committed. I looked forward to every class session. He went to great lengths to help us understand the course material, including posting videos on YouTube and holding extra office hours. It was evident how much he cared about his students. He is the kind of professor you hope to get!",5.0,3.0,"Jan 21st, 2015",1872573
169,Simon is the best teacher I have ever had the chance to learn from.,5.0,4.0,"Jan 15th, 2015",1872573
170,"Amazing teacher!! Always willing to meet with and help students. Super clear explanations and really really cares about students and their learning. He definitely understands and cares about teaching method, not just the material. Also an awesome guy! ",5.0,3.0,"Jan 15th, 2015",1872573
171,"The mapping technique is useful not only for analyzing others' arguments, but also for planning and critiquing my own. Indispensable tool!  Simon was very helpful with learning the mapping.",4.5,4.0,"Jan 15th, 2015",1872573
172,"Simon is one of the best instructors I have ever had. His approach to teaching us argument mapping was perfect. I left this class with many important skills -- most importantly, the ability to decompose complex arguments into understandable sub-pieces. My ability to write clear and concise papers also significantly improved as well.",5.0,3.0,"Jan 14th, 2015",1872573
173,It is clear that Simon genuinely wants you to learn. His innovative teaching style and tools make it possible.,5.0,3.0,"Jan 14th, 2015",1872573
174,"Professor Dasgupta is great! He's clear and interesting in explanations, has a very specific but incredibly helpful grading system, and made me think a lot about the philosophy of science without feeling overloaded with work.",5.0,2.0,"May 9th, 2018",1977590
175,Amazing lecturer.,5.0,4.0,"Feb 17th, 2018",2345093
176,"Professor De Oliveira is such a caring and understanding teacher. He is sympathetic and understands if people want to extend deadline. His grading policy is reasonable and he gives really good feedback on your drafts. While there is a lot of writing (it is a writing seminar!), he makes the topic very interesting. He also gives amazing writing tips!",5.0,4.0,"Oct 23rd, 2020",2629505
177,"Professor De Oliveira is such a caring and understanding teacher. He is sympathetic and understands if people want to extend deadline. His grading policy is reasonable and he gives really good feedback on your drafts. While there is a lot of writing (it is a writing seminar!), he makes the topic very interesting. He also gives amazing writing tips!",,,,2629505
178,he is really great,4.0,2.0,"Dec 18th, 2016",422768
179,"Brilliant, intelligent, hard working, insightful and extremely helpful. He is the man!",5.0,4.0,"Mar 7th, 2013",422768
180,"Stat mech with Pablo was one of the toughest classes I took at Princeton. We had only two problem sets, no exams, and that was still enough to prune away nearly half the class. Those problem sets were beasts. Can't blame him though. I'm not a genius, but he is, so much of what he says will be over my head. Most importantly: I learned some humility.",3.5,5.0,"Aug 11th, 2009",422768
181,Even if you hate and suck at Thermo you love him as a prof.,4.5,3.0,"Jun 22nd, 2006",422768
182,omg his guy is sweet he is so nice but hard,5.0,4.0,"Mar 5th, 2006",422768
183,i just started his class and he really knows his stuff and the first day he knew my name!!! All of the other teachers were cluless about our names but he gave an awsome impression by having our names memorized. Also he must spend hours on his lectures that are amazing... props to him... he is awsome!!!,5.0,3.0,"Feb 23rd, 2006",422768
184,sexiest person alive!,5.0,1.0,"Dec 9th, 2005",422768
185,he's cool,5.0,1.0,"Nov 25th, 2005",422768
186,I love him! He is so cool sure he is a little hard but come on lighten up a little LIVE! thats to all of you people that don't like them.,5.0,3.0,"Jan 22nd, 2005",422768
187,Best prof in the dept.,5.0,4.0,"Jun 12th, 2004",422768
188,Probably one of the greatest teachers I've had in a while. She knows how to keep the class interactive and knows and explains the material effectively. Very sweet and naturally very funny as well. You have to do a lot of presentations but it is a speech class,5.0,3.0,"Jul 28th, 2016",1685001
189,(-:,4.5,3.0,"Jan 15th, 2012",1685001
190,Good,4.5,2.0,"Oct 14th, 2014",650497
191,"Elga is VERY succinct - he does not parse words, and he lets you know EXACTLY what you need to do for the papers/assignments.  Very approachable.",5.0,4.0,"Dec 1st, 2010",1502873
192,great guy. always helpful,5.0,3.0,"May 15th, 2014",1902098
193,"Many people who took Farber's Intro to Micro class didn't like his style, but I did. Clearly knows a lot about Economics. If anything, he's almost too smart to teach the class and goes rather quickly. Often brushes through material and tells you to study it later. 30% of class skips lecture routinely. Told interesting econ-related stories in class",3.0,3.0,"Jan 13th, 2018",649834
194,"Absolutely the worst professor I have had at Princeton. He has made me reconsider my major because of his incompetence and complete disinterest in any sort of engagement with the material. He constantly makes mistakes. I don't understand why he is still teaching this course, as everyone complains about him.",1.0,3.0,"Nov 11th, 2012",649834
195,"He gets off topic quite frequently.  He is completely incompetent when it comes to technology.  He almost never finishes his lecture slides, and they have in the past been incorrect without excuse.  I do not recommend this professor at all.",1.5,3.0,"Dec 8th, 2008",649834
196,No Comments,1.0,5.0,"Jan 18th, 2007",649834
197,"Constantly approval-seeking, generally disorganized, useless overall.  Gives very weak and disorganized explanations littered with inappropriate political rhetoric; the only redeeming quality is that his preceptors tend to be decent, and can cover his ass.",1.5,4.0,"Apr 17th, 2006",649834
198,"Worst professor I've had at Princeton, doesn't care about students, very unfair, and is simply a jackass to students.",1.0,2.0,"Apr 2nd, 2006",649834
